SFPW_archive_dump_31May2024_LabID,Duplicates,Flags,FIELDID,Animal_ID,Stage_Class,Cruise,Platform,Shipper,Shipper_Organization,Shipped_Date,Received_Date,Collection_Method,Contact_ID,CONTACT_NAME,Organization_ID,Organization,Collector,Collector_Organization,Acknowledgement,Label,LAB,Species_ID,SpCode,SpType,Species_Type,SpName,Genus,Species,CommonName,SubSpecies,Species_Determ_List,USE,Restrict_Description,Date_Collected,YR,MO,DA,Location,City,Island,County,State,Country,Latitude,Latitude_Precision,Latitude_Precision_Unit,Longitude,Longitude_Precision,Longitude_Precision_Unit,OBasin,Ocean_Basin,SEX,Gender_Determination,ACCESSIONDATE,Repository_Numbers,SFPW_archive_dump_31May2024_Comments,SFPW_archive_dump_31May2024_Record_Creation_Date,SFPW_archive_dump_31May2024_Edit_User,SFPW_archive_dump_31May2024_Edit_Date,SFPW_DIDs_D_ID,dbo_vw_DNA_Storage_LabID,CellStatus,Freezer,Freezer_Description,Rack,Box,Row,Column,T_ID,DNAInStock,DNA_Type,DQuant,DQuant_Description,CheckedOut,Checked_Out_By,Checked_Out_For,dbo_vw_DNA_Storage_Comments,Batch_.,Extracted_By,Extraction_Date,Extraction_Comments,InventoryDate,Inventory_Tech,Accession_Date,dbo_vw_DNA_Storage_Edit_User,dbo_vw_DNA_Storage_Edit_Date,dbo_vw_DNA_Storage_Record_Creation_Date,Concentration_ID,dbo_vw_DNA_Concentration_D_ID,Quantification_Date,Done_by_Name,Equipment_Method,Concentration_ng_ul,Concentration_260_280,Concentration_260_230,Quantity_Copies,Assay,dbo_vw_DNA_Concentration_Comments,dbo_vw_DNA_Concentration_Edit_User,dbo_vw_DNA_Concentration_Edit_Date,dbo_vw_DNA_Concentration_Record_Creation_Date
1297,,CAGN,WXC0041,182733,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,08/28/1992,1992,8,28,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,35.25,1,Minute,-122.566666,1,Minute,1,North Pacific,F,Molecular determination: SRY method,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,81448,1297,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",23,903,I,2,1489,Y,Genomic DNA,1,<=10ul,N,,,,1054,Amy Van Cise,3/13/14,,,,7/28/14,Alaina Harmon,2/2/22,7/28/14,,,,,,,,,,,,,,
1376,,,02-01-93-LNSW,182808,,,,,,,,STRANDING,403,ALETA HOHN,457,"NMFS, SOUTHEAST FISHERIES SCIENCE CENTER, BEAUFORT LAB",,,"NMFS, Southeast Region Stranding Network",,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/03/1992,1992,1,3,CAPE LOOKOUT,,,,NORTH CAROLINA,UNITED STATES OF AMERICA,34.833333,1,Minute,-76.316666,1,Minute,2,North Atlantic,M,Field determination: gonads were examined; carcass was examined and dissected.,,,,5/31/12,dan.prosperi,6/8/22,91764,1376,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",2,970,B,2,1570,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,1677,Brittany Hanser,9/21/16,,,,10/26/16,Alaina Harmon,2/9/22,10/26/16,42027,91764,10/19/16,Brittany Hanser,Victor Fluorometry,0.16,,,,,,Gabriela Serra-Valente,10/28/16,10/28/16
1685,,CAGN,ASP0120,183098,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,08/16/1993,1993,8,16,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,41.45,1,Minute,-125.483333,1,Minute,1,North Pacific,F,Field determination: external exam only; live animal or carcass was examined but not dissected.,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,32759,1685,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",11,205,F,6,1946,Y,Genomic DNA,1,<=10ul,N,,,,,,,,,,,Gabriela Serra-Valente,5/5/17,6/28/12,7400,32759,,,,1832,,,,,,Dan Prosperi,5/19/14,5/19/14
1737,,CAGN,BJD0115,183149,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/07/1993,1993,9,7,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,41.466666,1,Minute,-125.516666,1,Minute,1,North Pacific,M,Field determination: external exam only; live animal or carcass was examined but not dissected.,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,1227,1737,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,B,3,1998,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,623,1227,,,,500,,,,,,Dan Prosperi,5/19/14,5/19/14
1738,,CAGN,BJD0116,183150,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/07/1993,1993,9,7,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,41.466666,1,Minute,-125.516666,1,Minute,1,North Pacific,F,Molecular determination: SRY method,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,1228,1738,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,B,4,1999,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,624,1228,,,,1205,,,,,,Dan Prosperi,5/19/14,5/19/14
1739,,CAGN,BJD0117,183151,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/04/1993,1993,9,4,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,41.466666,1,Minute,-124.516666,1,Minute,1,North Pacific,M,Molecular determination: SRY method,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,1229,1739,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,B,5,2000,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,5/5/17,6/28/12,625,1229,,,,1927,,,,,,Dan Prosperi,5/19/14,5/19/14
1864,,CAGN,WRZ0002,183266,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,10/26/1993,1993,10,26,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,36.066666,1,Minute,-122.85,1,Minute,1,North Pacific,M,Field determination: gonads were examined; carcass was examined and dissected.,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,1230,1864,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,B,6,2114,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,5/5/17,6/28/12,626,1230,,,,2048,,,,,,Dan Prosperi,5/19/14,5/19/14
2819,,,VGT0151,184211,,,,,,,,STRANDING,403,ALETA HOHN,457,"NMFS, SOUTHEAST FISHERIES SCIENCE CENTER, BEAUFORT LAB",,,"NMFS, Southeast Region Stranding Network",,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,05/31/1994,1994,5,31,HOLDEN BEACH,,,,NORTH CAROLINA,UNITED STATES OF AMERICA,33.916666,1,Minute,-75.216666,1,Minute,2,North Atlantic,M,Field determination: gonads were examined; carcass was examined and dissected.,,,COMPLETE DLOOP,5/31/12,dan.prosperi,6/8/22,32764,2819,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",11,205,G,2,2947,Y,Genomic DNA,4,>50ul,N,,,,,,,,,,,Gabriela Serra-Valente,5/5/17,6/28/12,7402,32764,,,,3810,,,,,,Dan Prosperi,5/19/14,5/19/14
3031,,,GA-0419,184420,,,,,,,,STRANDING,739,GRAHAM WORTHY,518,TEXAS A&M UNIVERSITY - GALVESTON,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/06/1992,1992,1,6,,,,Brazoria,TEXAS,UNITED STATES OF AMERICA,29.066666,1,Minute,-95.133333,1,Minute,2,North Atlantic,M,Field determination: gonads were examined; carcass was examined and dissected.,,,CON READING TAKEN IN 2003,5/31/12,dan.prosperi,6/7/22,1232,3031,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,B,8,3167,Y,Genomic DNA,4,>50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,627,1232,,,,958,,,,,,Dan Prosperi,5/19/14,5/19/14
4629,,,MAC950918.01,185996,,1995-CADDIS-MAC,,,,,,BIOPSY (PROJECTILE),534,JAY BARLOW,1,SWFSC,,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,JPB,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/18/1995,1995,9,18,GULF OF CALIFORNIA,,,,,MEXICO,26.5,1,Minute,-111,1,Minute,1,North Pacific,U,,,,"CONC READING 7/03.  Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/12,Alaina.Harmon,4/30/24,1234,4629,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,C,1,,Y,Primer Extension Preamplification,4,>50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Gabriela Serra-Valente,7/13/16,6/28/12,628,1234,,,,1310,,,,,,Dan Prosperi,5/19/14,5/19/14
4630,,,MAC950918.02,185997,,1995-CADDIS-MAC,,,,,,BIOPSY (PROJECTILE),534,JAY BARLOW,1,SWFSC,,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,JPB,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/18/1995,1995,9,18,GULF OF CALIFORNIA,,,,,MEXICO,26.5,1,Minute,-111,1,Minute,1,North Pacific,U,,,,"CONC READING 7/03.  Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/12,Alaina.Harmon,4/30/24,1235,4630,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,C,2,,Y,Primer Extension Preamplification,3,>25ul and <=50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,629,1235,,,,325,,,,,,Dan Prosperi,5/19/14,5/19/14
4630,,,MAC950918.02,185997,,1995-CADDIS-MAC,,,,,,BIOPSY (PROJECTILE),534,JAY BARLOW,1,SWFSC,,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,JPB,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/18/1995,1995,9,18,GULF OF CALIFORNIA,,,,,MEXICO,26.5,1,Minute,-111,1,Minute,1,North Pacific,U,,,,"CONC READING 7/03.  Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/12,Alaina.Harmon,4/30/24,81449,4630,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",23,903,I,3,4732,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,1054,Amy Van Cise,3/13/14,,,,7/28/14,Alaina Harmon,2/2/22,7/28/14,,,,,,,,,,,,,,
4630,,,MAC950918.02,185997,,1995-CADDIS-MAC,,,,,,BIOPSY (PROJECTILE),534,JAY BARLOW,1,SWFSC,,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,JPB,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/18/1995,1995,9,18,GULF OF CALIFORNIA,,,,,MEXICO,26.5,1,Minute,-111,1,Minute,1,North Pacific,U,,,,"CONC READING 7/03.  Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/12,Alaina.Harmon,4/30/24,92949,4630,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",2,977,B,3,4732,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,1720,Morgane Lauf,12/1/16,,,,1/6/17,Alaina Harmon,2/9/22,1/6/17,43196,92949,12/8/16,Morgane Lauf,Victor Fluorometry,16.24,,,,,,Gabriela Serra-Valente,1/6/17,1/6/17
4642,,,MAC950924.04,186009,,1995-CADDIS-MAC,,,,,,BIOPSY (PROJECTILE),534,JAY BARLOW,1,SWFSC,,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,JPB,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/24/1995,1995,9,24,GULF OF CALIFORNIA,,,,,MEXICO,27.3,1,Minute,-112.05,1,Minute,1,North Pacific,U,,,,"CONC READING 7/03.  Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/12,Alaina.Harmon,4/30/24,1236,4642,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",1,16,C,3,,Y,Primer Extension Preamplification,4,>50ul,N,,,,,,,,10/18/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,630,1236,,,,1260,,,,,,Dan Prosperi,5/19/14,5/19/14
4642,,,MAC950924.04,186009,,1995-CADDIS-MAC,,,,,,BIOPSY (PROJECTILE),534,JAY BARLOW,1,SWFSC,,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,JPB,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/24/1995,1995,9,24,GULF OF CALIFORNIA,,,,,MEXICO,27.3,1,Minute,-112.05,1,Minute,1,North Pacific,U,,,,"CONC READING 7/03.  Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/12,Alaina.Harmon,4/30/24,81450,4642,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",23,903,I,4,4745,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,1054,Amy Van Cise,3/13/14,,,,7/28/14,Alaina Harmon,2/2/22,7/28/14,,,,,,,,,,,,,,
