LABID,Latitude,Longitude,Mitogenome.haplotype,CR.haplotype,Hawaii,Location,CONTACT_NAME,Restrict_Description,Date_Collected,KKMLocation,Ocean_Basin,category,Working?,Rank,DQuant,concentration,dna.comments,TQuant
175845,28.0354,-16.8,mtGen27,mtGen27,,"Tenerife, Los Cristianos",NATACHA AGUILAR,Donator requested that PI request permission to use in study,11/5/15,Tenerife,North Atlantic,Atl1,,2,3,69.35,,1
175840,28.0354,-16.8,mtGen26,mtGen26,,"Tenerife, Los Cristianos",NATACHA AGUILAR,Donator requested that PI request permission to use in study,11/7/15,Tenerife,North Atlantic,Atl2,,2,1,120.41,,2
8671,29.283333,-81.033333,mtGen08,D,,"USA, FL, VOLUSIA CO., ORMOND BEACH",DAN ODELL,,3/22/97,US east,North Atlantic,Atl3,,2,3,380,,3
175779,38.11,-70.23,mtGen91,mtGen91,,NW Atlantic,PATRICIA ROSEL,Donator requested that PI request permission to use in study,7/15/05,US east,North Atlantic,Pac11,,2,1,,"DNA provided by P. Rosel's lab, SEFSC",0
108222,13.4,144.6,mtGen03,A,,Guam West,ERIN OLESON,Donator requested that PI request permission to use in study,3/22/12,CNMI,North Pacific,Pac12,,2,"4,2",,", ",3
104054,15.3,145.666666,mtGen06,A,,Saipan,ERIN OLESON,Donator requested that PI request permission to use in study,9/8/11,CNMI,North Pacific,Pac9,,2,"3,3",,", ",3
18298,6.9,-81.666666,mtGen49,2,,PANAMA,LISA Ballance,,10/7/00,ETP,North Pacific,C2,,2,4,208,,3
16167,8.45,-94.75,mtGen16,E,,ETP IFS,LISA Ballance,,11/24/99,ETP,North Pacific,ETP3,,2,4,190,,3
17977,26.916666,-114.783333,mtGen02,E,,BAJA,LISA Ballance,,8/1/00,ETP,North Pacific,ETP4,,2,4,21.32,,3
18293,6.9,-81.666666,mtGen48,E,,PANAMA,LISA Ballance,,10/7/00,ETP,North Pacific,ETP7,,2,3,,,3
37752,6.733333,-91.283333,mtGen30,E,,ETP IFS,LISA Ballance,,9/27/03,ETP,North Pacific,ETP8,,2,"0,2",,"Sample missing as of 12/14/2012 per GSV., ","3,0,3"
30085,19.5,-156,,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,10/1/02,HI,North Pacific,Extra1,,2,4,188,,2
33982,21.916666,-159.783333,NA,J,MHI,KAUAI,ROBIN BAIRD,Donator requested that PI request permission to use in study,6/3/03,HI,North Pacific,Extra2,,2,"4,3","19, 28.49",", ",3
33939,21.85,-159.95,,J,MHI,NI'IHAU,ROBIN BAIRD,Donator requested that PI request permission to use in study,5/31/03,HI,North Pacific,Extra3,,2,4,20,,3
18953,21,-157,mtGen01,J,MHI,LANAI (SW),ROBIN BAIRD,Donator requested that PI request permission to use in study,12/19/00,HI,North Pacific,Pac4,,2,4,,,"3,0"
33861,21.55,-158.333333,mtGen05,J,MHI,OAHU,ROBIN BAIRD,Donator requested that PI request permission to use in study,5/24/03,HI,North Pacific,Pac6,,2,"4,3","19, NA",", ",3
30448,24.116666,-168.516666,,12,NWHI,NWHI,JAY BARLOW,,10/18/02,NWHI,North Pacific,Pac2,,2,4,428,,3
30444,24.116666,-168.516666,mtGen76,J,NWHI,NWHI,JAY BARLOW,,10/18/02,NWHI,North Pacific,Pac5,,2,2,478,,3
78785,-3.133333,-167.366666,mtGen19,mtGen19,,"High Seas, 470km E of Canton Is.",ERIN OLESON,Donator requested that PI request permission to use in study,3/12/06,CNP,South Pacific,Pac1,,2,"3,2","NA, 46.79",", ",3
37772,-8.516666,-91.266666,mtGen58,2,,ETP IFS,LISA Ballance,,10/20/03,ETP,South Pacific,C3,,2,2,,,"3,3,3"
12009,-1.133333,-91.116666,mtGen43,6,,ECUADOR,TIM GERRODETTE,,11/7/98,ETP,South Pacific,ETP2,,2,3,320,,"3,1"
12029,-2,-81.3,mtGen44,E,,ECUADOR,TIM GERRODETTE,,11/11/98,ETP,South Pacific,ETP5,,2,4,378,,"3,1"
16079,-6.183333,-85.083333,mtGen47,E,,ETP IFS,LISA Ballance,,11/5/99,ETP,South Pacific,ETP6,,2,3,130,,"3,0"
174896,-15.9325,-145.225,mtGen20,C,,Kauehi,SCOTT BAKER,Donator requested that PI request permission to use in study,9/19/10,Moorea,South Pacific,C8,,2,3,,,0
174895,-15.9325,-145.225,mtGen89,mtGen89,,Kauehi,SCOTT BAKER,Donator requested that PI request permission to use in study,9/19/10,Moorea,South Pacific,C9,,2,3,,,0
157434,-13.5524,47.761,mtGen23,mtGen23,,Nosy Iranja,SALVATORE CERCHIO,Donator requested that PI request permission to use in study,11/24/12,Madagascar,Indian Ocean,C8,,3,1,55.32,,3
9873,4,73.566666,mtGen75,A,,MALDIVES,CHARLES ANDERSON,,4/18/98,Maldives,Indian Ocean,Pac10,,3,3,348,,3
112730,25.2828,-77.995,mtGen08,D,,N Andros,DIANE CLARIDGE,Donator requested that PI request permission to use in study,6/15/12,Bahamas,North Atlantic,Atl3,,3,3,15.36,,"0,2"
175783,36.9946,-73.7966,mtGen93,mtGen93,,NW Atlantic,PATRICIA ROSEL,Donator requested that PI request permission to use in study,7/13/05,US east,North Atlantic,Pac11,,3,1,,"DNA provided by P. Rosel's lab, SEFSC",0
108182,14.783333,145.516666,mtGen03,A,,Aguijan,ERIN OLESON,Donator requested that PI request permission to use in study,6/8/12,CNMI,North Pacific,Pac12,,3,"4,3,1","NA, NA, 36.19",", , ",3
108188,15.033333,145.216666,mtGen06,A,,Saipan/Tinian,ERIN OLESON,Donator requested that PI request permission to use in study,6/10/12,CNMI,North Pacific,Pac9,,3,"3,1",,", ",3
1864,36.066666,-122.85,mtGen09,E,,OFFSHORE,Kerri Danil,,10/26/93,CNP,North Pacific,ETP2,,3,3,2048,,3
37896,25.583333,-119.266666,mtGen62,3,,MEXICO IFS,LISA Ballance,,12/7/03,ETP,North Pacific,C3,,3,1,,,"0,3,3"
11873,10.116666,-90,mtGen41,E,,EL SALVADOR,TIM GERRODETTE,,10/21/98,ETP,North Pacific,ETP3,,3,4,428,,"3,0"
11515,28.566666,-115.166666,mtGen40,E,,BAJA,TIM GERRODETTE,,8/2/98,ETP,North Pacific,ETP4,,3,3,450,,"3,0"
11943,9.083333,-84.983333,mtGen15,E,,COSTA RICA,TIM GERRODETTE,,9/3/98,ETP,North Pacific,ETP5,,3,4,448,,"3,1"
18261,8.166666,-83.4,mtGen17,E,,COSTA RICA,LISA Ballance,,10/6/00,ETP,North Pacific,ETP6,,3,3,,,3
30084,19.5,-156,,J,MHI,BIG ISLAND,ROBIN BAIRD,Donator requested that PI request permission to use in study,10/1/02,HI,North Pacific,Extra1,,3,4,260,,2
33992,21.916666,-159.766666,,J,MHI,KAUAI,ROBIN BAIRD,Donator requested that PI request permission to use in study,6/3/03,HI,North Pacific,Extra2,,3,"4,3","18, 62.61",", ",3
33948,21.85,-159.95,,J,MHI,NI'IHAU,ROBIN BAIRD,Donator requested that PI request permission to use in study,5/31/03,HI,North Pacific,Extra3,,3,4,19,,3
33916,21.516666,-158.3,mtGen01,J,MHI,OAHU,ROBIN BAIRD,Donator requested that PI request permission to use in study,5/28/03,HI,North Pacific,Pac4,,3,"4,3,3","59, NA, NA",", , ",3
51029,21.75,-159.5,mtGen67,J,MHI,KAUAI,ROBIN BAIRD,Donator requested that PI request permission to use in study,10/19/05,HI,North Pacific,Pac5,,3,2,,,3
33981,21.916666,-159.766666,mtGen55,J,MHI,KAUAI,ROBIN BAIRD,Donator requested that PI request permission to use in study,6/3/03,HI,North Pacific,Pac6,,3,"2,2,3","49, NA, NA",", , ",3
30446,24.116666,-168.516666,,12,NWHI,NWHI,JAY BARLOW,,10/18/02,NWHI,North Pacific,Pac2,,3,3,415,,3
49063,4.7,-163.883333,mtGen65,mtGen65,,"USA, PALMYRA",JAY BARLOW,,8/19/05,Palmyra,North Pacific,C2,,3,"4,4,1,3",,", , , ",0
78787,-3.133333,-167.366666,mtGen69,K,,"High Seas, 470km E of Canton Is.",ERIN OLESON,Donator requested that PI request permission to use in study,3/12/06,CNP,South Pacific,Pac1,,3,"2,2","NA, 47.35",", ",3
37788,-14.733333,-84.766666,mtGen61,E,,ETP IFS,LISA Ballance,,10/24/03,ETP,South Pacific,ETP8,,3,2,,,"1,3,3"
175955,-16.9,122.466667,mtGen34,mtGen34,,Sandy Point,REBECCA BRAY,Donator requested that PI request permission to use in study,4/27/91,Australia,Indian Ocean,C7,,,1,17.08,,3
157435,-13.5524,47.761,mtGen23,mtGen23,,Nosy Iranja,SALVATORE CERCHIO,Donator requested that PI request permission to use in study,11/24/12,Madagascar,Indian Ocean,C8,,,1,17.94,,3
157265,-23.6651,43.6376,mtGen22,mtGen22,,Anakao,SALVATORE CERCHIO,Donator requested that PI request permission to use in study,7/9/07,Madagascar,Indian Ocean,Pac7,,,1,32,,2
157437,-13.5524,47.761,mtGen22,mtGen22,,Nosy Iranja,SALVATORE CERCHIO,Donator requested that PI request permission to use in study,11/24/12,Madagascar,Indian Ocean,Pac7,,,1,38.55,,3
9850,4.866666,73.483333,mtGen10,A,,MALDIVES,CHARLES ANDERSON,,4/2/98,Maldives,Indian Ocean,Pac10,,,2,80,,3
9864,5.416666,73.25,,A,,MALDIVES,CHARLES ANDERSON,,4/13/98,Maldives,Indian Ocean,,,,4,135,,1
79790,26.366666,-78.583333,mtGen08,D,,South Grand Bahama,DIANE CLARIDGE,Donator requested that PI request permission to use in study,6/2/09,Bahamas,North Atlantic,Atl3,,,"0,1",,"used up for SR 275 Parsons per KMR 10/25/2012, ","3,3"
112731,25.2837,-77.9948,mtGen08,D,,N Andros,DIANE CLARIDGE,Donator requested that PI request permission to use in study,6/15/12,Bahamas,North Atlantic,Atl3,,,"1,1","38.95, 143.71",", ","0,2"
79793,26.383333,-78.566666,,D,,South Grand Bahama,DIANE CLARIDGE,Donator requested that PI request permission to use in study,6/2/09,Bahamas,North Atlantic,,,,"0,3,1",,"used up for SR 275 Parsons per KMR 10/25/2012, , ","3,0"
89564,24.9,-76.716666,,D,,North Exuma,DIANE CLARIDGE,Donator requested that PI request permission to use in study,10/4/09,Bahamas,North Atlantic,,,,3,,,0
126092,24.65,-77.616666,,D,,"Central Andros, AUTEC",DIANE CLARIDGE,Donator requested that PI request permission to use in study,5/4/11,Bahamas,North Atlantic,,,,3,,,3
143674,25.3533,-77.9777,NA,NA,,S Berry Is,DIANE CLARIDGE,Donator requested that PI request permission to use in study,4/24/14,Bahamas,North Atlantic,,,,3,46.48,,"0,0,3"
175339,13.2407,-61.3233,mtGen25,mtGen25,,Barrouallie,RUSSELL FIELDING,Donator requested that PI request permission to use in study,9/22/15,Caribbean,North Atlantic,Atl1,,,1,21.07,,2
175340,13.2407,-61.3233,mtGen25,mtGen25,,Barrouallie,RUSSELL FIELDING,Donator requested that PI request permission to use in study,9/28/15,Caribbean,North Atlantic,Atl1,,,1,51.62,,2
175341,13.2407,-61.3233,mtGen12,mtGen12,,Barrouallie,RUSSELL FIELDING,Donator requested that PI request permission to use in study,3/15/16,Caribbean,North Atlantic,Pac11,,,1,139.53,,2
175343,13.2407,-61.3233,NA,NA,,Barrouallie,RUSSELL FIELDING,Donator requested that PI request permission to use in study,6/23/16,Caribbean,North Atlantic,,,,1,25.58,,2
3031,29.066666,-95.133333,,D,,"USA, TX, BRAZORIA CO.",GRAHAM WORTHY,,1/6/92,GoMex,North Atlantic,,,,4,958,,3
48103,10.516666,-61.05,mtGen79,A,,COCOS BAY,ANTONIO MIGNUCCI-GIANNONI,Donator requested that PI request permission to use in study,10/13/99,Puerto Rico,North Atlantic,Atl1,,,1,,,3
48090,18.683333,-64.283333,mtGen77,15,,"CAYMAN ISLANDS, BRITISH VIRGIN ISLANDS, ANEGADA",ANTONIO MIGNUCCI-GIANNONI,Donator requested that PI request permission to use in study,8/28/98,Puerto Rico,North Atlantic,Atl4,,,"3,1","NA, 32.74",", ",2
48091,18.683333,-64.283333,mtGen78,mtGen78,,"CAYMAN ISLANDS, BRITISH VIRGIN ISLANDS, ANEGADA",ANTONIO MIGNUCCI-GIANNONI,Donator requested that PI request permission to use in study,8/28/98,Puerto Rico,North Atlantic,Atl5,,,1,,,3
48080,18.516666,-67.033333,mtGen12,mtGen12,,ISABELA,ANTONIO MIGNUCCI-GIANNONI,Donator requested that PI request permission to use in study,9/27/01,Puerto Rico,North Atlantic,Pac11,,,1,35.76,,3
48104,10.516666,-61.05,,A,,COCOS BAY,ANTONIO MIGNUCCI-GIANNONI,Donator requested that PI request permission to use in study,10/13/99,Puerto Rico,North Atlantic,,,,3,,,3
48105,10.516666,-61.05,,A,,COCOS BAY,ANTONIO MIGNUCCI-GIANNONI,Donator requested that PI request permission to use in study,10/13/99,Puerto Rico,North Atlantic,,,,3,,,3
48112,10.516666,-61.05,,A,,COCOS BAY,ANTONIO MIGNUCCI-GIANNONI,Donator requested that PI request permission to use in study,10/13/99,Puerto Rico,North Atlantic,,,,3,,,3
175838,28.0354,-16.8,mtGen96,mtGen96,,"Tenerife, Los Cristianos",NATACHA AGUILAR,Donator requested that PI request permission to use in study,11/4/15,Tenerife,North Atlantic,Atl2,,,1,39.78,,3
175839,28.0354,-16.8,mtGen26,mtGen26,,"Tenerife, Los Cristianos",NATACHA AGUILAR,Donator requested that PI request permission to use in study,11/7/15,Tenerife,North Atlantic,Atl2,,,1,38.08,,1
175780,35.1408,-75.0187,mtGen92,mtGen92,,NW Atlantic,PATRICIA ROSEL,Donator requested that PI request permission to use in study,7/9/05,US east,North Atlantic,Atl3,,,1,,"DNA provided by P. Rosel's lab, SEFSC",0
175782,35.7372,-73.857,mtGen32,mtGen32,,NW Atlantic,PATRICIA ROSEL,Donator requested that PI request permission to use in study,7/11/05,US east,North Atlantic,Atl3,,,1,,"DNA provided by P. Rosel's lab, SEFSC",0
175786,38.697,-70.3152,mtGen95,mtGen95,,NW Atlantic,PATRICIA ROSEL,Donator requested that PI request permission to use in study,7/15/05,US east,North Atlantic,Atl3,,,1,,"DNA provided by P. Rosel's lab, SEFSC",0
175778,34.4733,-74.325,mtGen07,mtGen07,,NW Atlantic,PATRICIA ROSEL,Donator requested that PI request permission to use in study,7/17/04,US east,North Atlantic,Atl4,,,1,,"DNA provided by P. Rosel's lab, SEFSC",0
175787,39.8767,-71.1483,mtGen07,mtGen07,,NW Atlantic,PATRICIA ROSEL,Donator requested that PI request permission to use in study,7/17/06,US east,North Atlantic,Atl4,,,1,,"DNA provided by P. Rosel's lab, SEFSC",0
175788,39.8967,-71.09,mtGen07,mtGen07,,NW Atlantic,PATRICIA ROSEL,Donator requested that PI request permission to use in study,7/26/06,US east,North Atlantic,Atl4,,,1,,"DNA provided by P. Rosel's lab, SEFSC",0
537,38.65,-75.066666,,D,,DELAWARE,Darrin Lunde,"No tissue left, loaner DNA is available",11/11/91,US east,North Atlantic,,,,4,520,,0
175781,35.6422,-74.7223,NA,NA,,NW Atlantic,PATRICIA ROSEL,Donator requested that PI request permission to use in study,7/10/05,US east,North Atlantic,,,,1,,"DNA provided by P. Rosel's lab, SEFSC",0
104027,13.6,144.766666,mtGen03,A,,Guam,ERIN OLESON,Donator requested that PI request permission to use in study,8/27/11,CNMI,North Pacific,Pac12,,,"3,2",,", ",3
104028,13.6,144.766666,mtGen03,A,,Guam,ERIN OLESON,Donator requested that PI request permission to use in study,8/27/11,CNMI,North Pacific,Pac12,,,2,,,3
104109,15,145.533333,mtGen03,A,,Saipan,ERIN OLESON,Donator requested that PI request permission to use in study,9/29/11,CNMI,North Pacific,Pac12,,,"2,3,1","NA, NA, 32.02",", , ",3
143717,13.413403,144.615846,mtGen84,A,,"Guam, 1km S Orote Pt.",ERIN OLESON,Donator requested that PI request permission to use in study,5/19/14,CNMI,North Pacific,Pac12,,,"3,3,1","NA, NA, 45.1",", , ",2
143718,13.402227,144.609589,mtGen03,A,,"Guam, 1km S Orote Pt.",ERIN OLESON,Donator requested that PI request permission to use in study,5/19/14,CNMI,North Pacific,Pac12,,,"3,1","NA, 62.81",", ",2
143749,14.255273,145.253446,mtGen03,A,,"Rota, 4km NE Rota east tip",ERIN OLESON,Donator requested that PI request permission to use in study,6/16/14,CNMI,North Pacific,Pac12,,,"3,1","NA, 51.36",", ",3
143750,14.095626,145.272781,mtGen03,A,,"Rota, 10km SE Rota southernmost tip",ERIN OLESON,Donator requested that PI request permission to use in study,6/17/14,CNMI,North Pacific,Pac12,,,"3,1","NA, 10.01",", ",3
104075,14.116666,145.116666,mtGen80,A,,Rota,ERIN OLESON,Donator requested that PI request permission to use in study,9/15/11,CNMI,North Pacific,Pac13,,,"3,1",,", ",3
104053,15.316666,145.683333,mtGen31,A,,Saipan,ERIN OLESON,Donator requested that PI request permission to use in study,9/8/11,CNMI,North Pacific,Pac9,,,"2,2",,", ",3
104055,15.3,145.666666,mtGen06,A,,Saipan,ERIN OLESON,Donator requested that PI request permission to use in study,9/8/11,CNMI,North Pacific,Pac9,,,"2,2",,", ",3
143741,14.237415,145.273834,mtGen06,A,,"Rota, 4km NE Rota east tip",ERIN OLESON,Donator requested that PI request permission to use in study,6/16/14,CNMI,North Pacific,Pac9,,,"3,3,1","NA, NA, 44.62",", , ",3
104025,13.583333,144.766666,NA,A,,Guam,ERIN OLESON,Donator requested that PI request permission to use in study,8/27/11,CNMI,North Pacific,,,,"3,4,3",,", , ",3
104026,13.583333,144.766666,,A,,Guam,ERIN OLESON,Donator requested that PI request permission to use in study,8/27/11,CNMI,North Pacific,,,,"3,3",,", ",3
104029,13.6,144.783333,,A,,Guam,ERIN OLESON,Donator requested that PI request permission to use in study,8/27/11,CNMI,North Pacific,,,,"3,3",,", ",3
104050,15.3,145.7,NA,A,,Saipan,ERIN OLESON,Donator requested that PI request permission to use in study,9/8/11,CNMI,North Pacific,,,,"3,3",,", ",3
104052,15.316666,145.7,,A,,Saipan,ERIN OLESON,Donator requested that PI request permission to use in study,9/8/11,CNMI,North Pacific,,,,"1,3",,", ",3
104056,15.3,145.666666,NA,A,,Saipan,ERIN OLESON,Donator requested that PI request permission to use in study,9/8/11,CNMI,North Pacific,,,,3,,,3
104072,14.116666,145.116666,,A,,Rota,ERIN OLESON,Donator requested that PI request permission to use in study,9/15/11,CNMI,North Pacific,,,,3,,,3
104073,14.116666,145.116666,NA,A,,Rota,ERIN OLESON,Donator requested that PI request permission to use in study,9/15/11,CNMI,North Pacific,,,,"3,3",,", ",3
104074,14.116666,145.116666,NA,A,,Rota,ERIN OLESON,Donator requested that PI request permission to use in study,9/15/11,CNMI,North Pacific,,,,"3,2",,", ",2
104077,14.116666,145.116666,NA,A,,Rota,ERIN OLESON,Donator requested that PI request permission to use in study,9/15/11,CNMI,North Pacific,,,,"2,1",,", ",2
104079,14.116666,145.1,NA,A,,Rota,ERIN OLESON,Donator requested that PI request permission to use in study,9/15/11,CNMI,North Pacific,,,,"2,2",,", ",2
104105,15.016666,145.533333,,A,,Saipan,ERIN OLESON,Donator requested that PI request permission to use in study,9/29/11,CNMI,North Pacific,,,,3,,,3
104106,15.016666,145.533333,NA,A,,Saipan,ERIN OLESON,Donator requested that PI request permission to use in study,9/29/11,CNMI,North Pacific,,,,"4,1",,", ",2
104107,15.016666,145.533333,,A,,Saipan,ERIN OLESON,Donator requested that PI request permission to use in study,9/29/11,CNMI,North Pacific,,,,3,,,3
104108,15.016666,145.533333,NA,A,,Saipan,ERIN OLESON,Donator requested that PI request permission to use in study,9/29/11,CNMI,North Pacific,,,,3,,,3
104110,15,145.533333,NA,A,,Saipan,ERIN OLESON,Donator requested that PI request permission to use in study,9/29/11,CNMI,North Pacific,,,,"3,3",,", ",3
108164,13.7,144.816666,NA,mtGen72,,Guam,ERIN OLESON,Donator requested that PI request permission to use in study,5/26/12,CNMI,North Pacific,,,,"4,2",,", ",2
