Steno_archive_dump_4June2024_LabID,Steno_DID_D_ID,dbo_vw_DNA_Storage_LabID,CellStatus,Freezer,Freezer_Description,Rack,Box,Row,Column,T_ID,DNAInStock,DNA_Type,DQuant,DQuant_Description,CheckedOut,Checked_Out_By,Checked_Out_For,Steno_DID_Comments,Batch_.,Extracted_By,Extraction_Date,Extraction_Comments,InventoryDate,Inventory_Tech,Accession_Date,Steno_DID_Edit_User,Steno_DID_Edit_Date,Steno_DID_Record_Creation_Date,Concentration_ID,dbo_vw_DNA_Concentration_D_ID,Quantification_Date,Done_by_Name,Equipment_Method,Concentration_ng_ul,Concentration_260_280,Concentration_260_230,Quantity_Copies,Assay,dbo_vw_DNA_Concentration_Comments,dbo_vw_DNA_Concentration_Edit_User,dbo_vw_DNA_Concentration_Edit_Date,dbo_vw_DNA_Concentration_Record_Creation_Date
187689,102857,187689,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,C,3,226645,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,1955,Brittany Hanser,1/29/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52565,102857,1/29/18,Brittany Hanser,Victor Fluorometry,11.78,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187696,102864,187696,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,C,10,226652,Y,Genomic DNA,4,>50ul,N,,,,1955,Brittany Hanser,1/29/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52564,102864,1/29/18,Brittany Hanser,Victor Fluorometry,3.37,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187697,102865,187697,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,C,11,226653,Y,Genomic DNA,4,>50ul,N,,,,1955,Brittany Hanser,1/29/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52577,102865,1/29/18,Brittany Hanser,Victor Fluorometry,12.2,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187698,102866,187698,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,C,12,226654,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,1955,Brittany Hanser,1/29/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52569,102866,1/29/18,Brittany Hanser,Victor Fluorometry,3.2,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187699,102867,187699,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,C,13,226655,Y,Genomic DNA,4,>50ul,N,,,,1955,Brittany Hanser,1/29/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52559,102867,1/29/18,Brittany Hanser,Victor Fluorometry,8.81,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187700,102868,187700,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,D,1,226656,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,1956,Brittany Hanser,2/1/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52587,102868,2/3/18,Brittany Hanser,Victor Fluorometry,0,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187701,102869,187701,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,D,2,226657,Y,Genomic DNA,4,>50ul,N,,,,1956,Brittany Hanser,2/1/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52598,102869,2/3/18,Brittany Hanser,Victor Fluorometry,2.41,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187702,102870,187702,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,D,3,226658,Y,Genomic DNA,4,>50ul,N,,,,1956,Brittany Hanser,2/1/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52591,102870,2/3/18,Brittany Hanser,Victor Fluorometry,0,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187703,102871,187703,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,D,4,226659,Y,Genomic DNA,4,>50ul,N,,,,1956,Brittany Hanser,2/1/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52582,102871,2/3/18,Brittany Hanser,Victor Fluorometry,0.63,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187706,102874,187706,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,D,7,226662,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,1956,Brittany Hanser,2/1/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52595,102874,2/3/18,Brittany Hanser,Victor Fluorometry,0,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187707,102875,187707,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,D,8,226663,Y,Genomic DNA,4,>50ul,N,,,,1956,Brittany Hanser,2/1/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52586,102875,2/3/18,Brittany Hanser,Victor Fluorometry,0.94,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187708,102876,187708,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,D,9,226664,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,1956,Brittany Hanser,2/1/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52580,102876,2/3/18,Brittany Hanser,Victor Fluorometry,13.81,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187720,102888,187720,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,E,8,226676,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,1956,Brittany Hanser,2/1/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52599,102888,2/3/18,Brittany Hanser,Victor Fluorometry,8.73,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
187721,102889,187721,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1023,E,9,226677,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,1957,Brittany Hanser,2/5/18,,,,4/6/18,Alaina Harmon,2/9/22,4/6/18,52615,102889,2/7/18,Brittany Hanser,Victor Fluorometry,11.86,,,,,,Gabriela Serra-Valente,4/9/18,4/9/18
1945,5121,1945,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,B,9,,N,Genomic DNA,0,None left,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,,,,,,,,,,,,,,
1945,5122,1945,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,C,1,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,2378,5122,,,,10500,,,,,,Dan Prosperi,5/19/14,5/19/14
3813,5123,3813,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,C,2,,Y,Genomic DNA,4,>50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,,,,,,,,,,,,,,
3816,5124,3816,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,C,3,,Y,Genomic DNA,4,>50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Nicky Beaulieu,3/21/14,6/28/12,2379,5124,3/21/14,Kelly Robertson,Victor Fluorometry,144.06,,,,,,Dan Prosperi,5/23/14,5/19/14
9535,62475,9535,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,725,A,9,9328,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
9536,62476,9536,-1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,725,B,1,,N,Genomic DNA,0,None left,N,,,Used-up per KMR 1/28/2014,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
9537,62477,9537,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,725,B,2,9330,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
9838,5127,9838,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,C,6,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,2381,5127,,,,40,,,,,,Dan Prosperi,5/19/14,5/19/14
9855,5128,9855,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,C,7,9653,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Nicky Beaulieu,3/21/14,6/28/12,2382,5128,3/21/14,Kelly Robertson,Victor Fluorometry,149.25,,,,,,Dan Prosperi,5/23/14,5/19/14
9855,79393,9855,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",22,882,F,9,9653,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,,,3/18/14,Alaina Harmon,2/2/22,3/18/14,28144,79393,3/18/14,Louella Dolar,Nanodrop Spectrophotometry,494.6,1.77,1.43,,,,Dan Prosperi,5/23/14,5/19/14
9855,79393,9855,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",22,882,F,9,9653,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,,,3/18/14,Alaina Harmon,2/2/22,3/18/14,28287,79393,3/21/14,Kelly Robertson,Tecan Fluorometry,581.71,,,,,,Dan Prosperi,5/23/14,5/23/14
10936,23484,10936,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",8,156,H,9,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,2/3/06,Gabriela Serra-Valente,,Nicky Beaulieu,3/21/14,6/28/12,6155,23484,3/21/14,Kelly Robertson,Victor Fluorometry,0,,,,,,Dan Prosperi,5/23/14,5/19/14
10936,79394,10936,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",22,882,G,1,10551,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,,,3/18/14,Alaina Harmon,2/2/22,3/18/14,28145,79394,3/18/14,Louella Dolar,Nanodrop Spectrophotometry,838.27,1.83,1.23,,,,Dan Prosperi,5/23/14,5/19/14
10936,79394,10936,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",22,882,G,1,10551,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,,,3/18/14,Alaina Harmon,2/2/22,3/18/14,28288,79394,3/21/14,Kelly Robertson,Tecan Fluorometry,410.54,,,,,,Dan Prosperi,5/23/14,5/23/14
11192,23389,11192,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",8,155,G,4,,N,Genomic DNA,0,None left,N,,,Sample used up for SR251.,,,,,2/3/06,Gabriela Serra-Valente,,Gabriela Serra-Valente,12/10/12,6/28/12,,,,,,,,,,,,,,
11192,57132,11192,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",11,664,C,4,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,447,Louella Dolar,9/30/10,,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
11193,21804,11193,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",7,137,A,8,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,1/31/06,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,,,,,,,,,,,,,,
11193,23388,11193,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",8,155,G,3,,N,Genomic DNA,0,None left,N,,,Sample used up for SR251.,,,,,2/3/06,Gabriela Serra-Valente,,Gabriela Serra-Valente,12/10/12,6/28/12,6099,23388,,,,61,,,,,,Dan Prosperi,5/19/14,5/19/14
11638,5132,11638,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,D,2,,Y,Genomic DNA,1,<=10ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,,,,,,,,,,,,,,
11638,5133,11638,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,D,3,,Y,Genomic DNA,4,>50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2386,5133,,,,380,,,,,,Dan Prosperi,5/19/14,5/19/14
11663,5134,11663,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,D,4,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,,,,,,,,,,,,,,
11663,5135,11663,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,D,5,,Y,Genomic DNA,1,<=10ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2387,5135,,,,32,,,,,,Dan Prosperi,5/19/14,5/19/14
11924,5136,11924,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,D,6,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Nicky Beaulieu,3/21/14,6/28/12,2388,5136,3/21/14,Kelly Robertson,Victor Fluorometry,138.48,,,,,,Dan Prosperi,5/23/14,5/19/14
11924,79395,11924,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",22,882,G,2,12009,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,,,3/18/14,Alaina Harmon,2/2/22,3/18/14,28146,79395,3/18/14,Louella Dolar,Nanodrop Spectrophotometry,705.19,1.81,1.23,,,,Dan Prosperi,5/23/14,5/19/14
11924,79395,11924,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",22,882,G,2,12009,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,,,3/18/14,Alaina Harmon,2/2/22,3/18/14,28289,79395,3/21/14,Kelly Robertson,Tecan Fluorometry,532.77,,,,,,Dan Prosperi,5/23/14,5/23/14
13304,23390,13304,-1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",8,155,G,5,,N,Genomic DNA,0,None left,N,,,Sample used up for SR251.,,,,,2/3/06,Gabriela Serra-Valente,,Gabriela Serra-Valente,12/10/12,6/28/12,,,,,,,,,,,,,,
13304,79396,13304,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",22,882,G,3,13559,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,,,3/18/14,Alaina Harmon,2/2/22,3/18/14,28147,79396,3/18/14,Louella Dolar,Nanodrop Spectrophotometry,1210.4,1.96,1.44,,,,Dan Prosperi,5/23/14,5/19/14
13304,79396,13304,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",22,882,G,3,13559,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,,,3/18/14,Alaina Harmon,2/2/22,3/18/14,28290,79396,3/21/14,Kelly Robertson,Tecan Fluorometry,344.01,,,,,,Dan Prosperi,5/23/14,5/23/14
14206,62478,14206,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,725,B,3,,Y,Genomic DNA,1,<=10ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
15890,5138,15890,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,D,8,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,,,,,,,,,,,,,,
15996,5139,15996,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,D,9,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,,,,,,,,,,,,,,
16159,5140,16159,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,E,1,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,,,,,,,,,,,,,,
16160,5141,16160,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,E,2,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,,,,,,,,,,,,,,
16160,5142,16160,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,E,3,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2390,5142,,,,7,,,,,,Dan Prosperi,5/19/14,5/19/14
18068,5143,18068,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,E,4,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,,,,,,,,,,,,,,
18069,62479,18069,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",14,725,B,4,,Y,Genomic DNA,1,<=10ul,N,,,,656,Jake Minich,7/5/11,S bre. # of Samples in Batch: 22x2,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
18126,5145,18126,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,E,6,,Y,Genomic DNA,4,>50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,,,,,,,,,,,,,,
18126,5146,18126,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,E,7,,Y,Genomic DNA,4,>50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Dan Prosperi,7/2/12,6/28/12,2391,5146,,,,45,,,,,,Dan Prosperi,5/19/14,5/19/14
18127,5147,18127,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,E,8,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,2392,5147,,,,17,,,,,,Dan Prosperi,5/19/14,5/19/14
18431,5149,18431,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,F,1,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Nicky Beaulieu,3/21/14,6/28/12,2394,5149,3/21/14,Kelly Robertson,Victor Fluorometry,125.73,,,,,,Dan Prosperi,5/23/14,5/19/14
18431,5150,18431,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,F,2,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,11/5/05,Gabriela Serra-Valente,,Nicky Beaulieu,3/21/14,6/28/12,2395,5150,3/21/14,Kelly Robertson,Victor Fluorometry,12.01,,,,,,Dan Prosperi,5/23/14,5/19/14
18432,5151,18432,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,F,3,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,,,,,,,,,,,,,,
18466,5152,18466,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,F,4,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,,,,,,,,,,,,,,
18467,5153,18467,-9,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",4,64,F,5,,N,Genomic DNA,0,None left,N,,,Entire DNA sample loaned to Scott Baker's Lab.,,,,,11/5/05,Gabriela Serra-Valente,,Alaina Harmon,3/5/24,6/28/12,,,,,,,,,,,,,,
