SFPW_archive_dump_31May2024_LabID,Duplicates,Flags,FIELDID,Animal_ID,Stage_Class,Cruise,Platform,Shipper,Shipper_Organization,Shipped_Date,Received_Date,Collection_Method,Contact_ID,CONTACT_NAME,Organization_ID,Organization,Collector,Collector_Organization,Acknowledgement,Label,LAB,Species_ID,SpCode,SpType,Species_Type,SpName,Genus,Species,CommonName,SubSpecies,Species_Determ_List,USE,Restrict_Description,Date_Collected,YR,MO,DA,Location,City,Island,County,State,Country,Latitude,Latitude_Precision,Latitude_Precision_Unit,Longitude,Longitude_Precision,Longitude_Precision_Unit,OBasin,Ocean_Basin,SEX,Gender_Determination,ACCESSIONDATE,Repository_Numbers,SFPW_archive_dump_31May2024_Comments,Record_Creation_Date,SFPW_archive_dump_31May2024_Edit_User,Edit_Date,T_ID,dbo_vw_Tissue_Vial_LabID,Vial_Num,Tissue_Type,Preservative,TQuant,TQuant_Description,TLeft,BQuant,Tissue_Location,Container_Type_Name,Vial_Type_Name,Container_Num,Rack,Box,Container_Row,Container_Column,CellStatus,CheckedOut,Checked_Out_By,Checked_Out_For,dbo_vw_Tissue_Vial_Comments,Accession_Date,EditDate,dbo_vw_Tissue_Vial_Edit_User,RecordCreationDate
34,,,ETN-01-84,181530,,,,,,,,STRANDING,477,DAVID SCHOFIELD,181,PIRO,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,05/08/1984,1984,5,8,SWFSC-HI,,,,HAWAII,UNITED STATES OF AMERICA,21.55,1,Minute,-157.866666,1,Minute,1,North Pacific,M,Field determination: gonads were examined; carcass was examined and dissected.,,,"O=LIVER, GENDER CONFIRMED BY SRY.  Source was recorded as ""STRAND-HI-SWFSC""",5/31/12,dan.prosperi,6/23/22,66,34,2,Liver,Frozen; no preservative,3,Enough tissue for 3 or more extractions,Y,0,-20 Plastic Bins-Small (Mammals),Large Plastic Bin,20 ml plastic,1,,,,,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
85,,,DSJ900927.03,181581,,1990-MOPS-DSJ,,,,,,BIOPSY (PROJECTILE),603,LISA Ballance,1,SWFSC,,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,JPB,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/27/1990,1990,9,27,ETP,,,,,,7.333333,1,Minute,-82.083333,1,Minute,1,North Pacific,U,,,,use restriction changed to NO in 2020 due to Ballance retirement; contact E. Archer if questions,5/31/12,dan.prosperi,4/10/24,82463,85,1,Skin,"DMSO, saturated salt solution",0,No tissue,N,0,-20 Walk In Freezer,,,,,,,,-1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
449,,,JGM0362,181917,,,,,,,,STRANDING,470,Darrin Lunde,256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,KMR,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,Y,Donator requested that PI request permission to use in study,04/07/1978,1978,4,7,,,,,NORTH CAROLINA,UNITED STATES OF AMERICA,35.266666,1,Minute,-75.516666,1,Minute,2,North Atlantic,M,Field determination: gonads were examined; carcass was examined and dissected.,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/12,dan.prosperi,6/22/22,723,449,1,Muscle,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,0,-20 Walk In Freezer,Flat,20 ml plastic,4,,,D,7,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
450,,,JGM0369,181918,,,,,,,,STRANDING,470,Darrin Lunde,256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,KMR,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,Y,Donator requested that PI request permission to use in study,04/12/1978,1978,4,12,,,,,NORTH CAROLINA,UNITED STATES OF AMERICA,35.783333,1,Minute,-75.533333,1,Minute,2,North Atlantic,M,Field determination: external exam only; live animal or carcass was examined but not dissected.,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/12,dan.prosperi,6/22/22,724,450,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,1,-20 Walk In Freezer,Flat,2 ml,4,,,D,8,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
482,,,CWP0214/USNM550310,181950,,,,,,,,STRANDING,470,Darrin Lunde,256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,KMR,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,Y,Donator requested that PI request permission to use in study,05/18/1983,1983,5,18,,,,,NORTH CAROLINA,UNITED STATES OF AMERICA,36.366666,1,Minute,-75.816666,1,Minute,2,North Atlantic,M,Field determination: gonads were examined; carcass was examined and dissected.,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-NC-USNM""",5/31/12,dan.prosperi,6/22/22,82527,482,1,Skin,"DMSO, saturated salt solution",0,No tissue,N,0,-20 Walk In Freezer,,,,,,,,-1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
504,,,WAM0333/USNM571255,181972,,,,,,,,BYCATCH,470,Darrin Lunde,256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,KMR,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,Y,Donator requested that PI request permission to use in study,09/28/1988,1988,9,28,,,,,NORTH CAROLINA,UNITED STATES OF AMERICA,35.716666,1,Minute,-75.05,1,Minute,2,North Atlantic,M,Field determination: external exam only; live animal or carcass was examined but not dissected.,,,"Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""FISHERY-USNM""",5/31/12,dan.prosperi,6/22/22,82530,504,1,Skin,"DMSO, saturated salt solution",0,No tissue,N,0,-20 Walk In Freezer,,,,,,,,-1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
537,,,USNM571482,182003,,,,,,,,STRANDING,470,Darrin Lunde,256,"DIVISION OF MAMMALS, SMITHSONIAN INSTITUTION",,,"National Museum of Natural History, Smithsonian Institute",,KMR,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,Y,"No tissue left, loaner DNA is available",11/11/1991,1991,11,11,,,,,DELAWARE,UNITED STATES OF AMERICA,38.65,1,Minute,-75.066666,1,Minute,2,North Atlantic,M,Field determination: external exam only; live animal or carcass was examined but not dissected.,,,"COMPLETE DLOOP, GENDER CONFIRMED BY SRY, CONC READING TAKEN IN 2003.  Include USNM accession number in Ack; Charlie Potter original contributor.  Source was recorded as ""STRAND-DE-USNM""",5/31/12,dan.prosperi,6/22/22,82533,537,1,Skin,"DMSO, saturated salt solution",0,No tissue,N,0,-20 Walk In Freezer,,,,,,,,-1,N,,,"COMPLETE DLOOP, GENDER CONFIRMED BY SRY, CONC READING TAKEN IN 2003",3/3/08,2/25/20,Dan Prosperi,3/3/08
1297,,CAGN,WXC0041,182733,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,08/28/1992,1992,8,28,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,35.25,1,Minute,-122.566666,1,Minute,1,North Pacific,F,Molecular determination: SRY method,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,1489,1297,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,1,-20 Walk In Freezer,Flat,20 ml plastic,11,,,A,8,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
1376,,,02-01-93-LNSW,182808,,,,,,,,STRANDING,403,ALETA HOHN,457,"NMFS, SOUTHEAST FISHERIES SCIENCE CENTER, BEAUFORT LAB",,,"NMFS, Southeast Region Stranding Network",,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/03/1992,1992,1,3,CAPE LOOKOUT,,,,NORTH CAROLINA,UNITED STATES OF AMERICA,34.833333,1,Minute,-76.316666,1,Minute,2,North Atlantic,M,Field determination: gonads were examined; carcass was examined and dissected.,,,,5/31/12,dan.prosperi,6/8/22,1570,1376,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,1,-20 Walk In Freezer,Flat,20 ml plastic,11,,,H,10,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
1685,,CAGN,ASP0120,183098,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,08/16/1993,1993,8,16,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,41.45,1,Minute,-125.483333,1,Minute,1,North Pacific,F,Field determination: external exam only; live animal or carcass was examined but not dissected.,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,1946,1685,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,1,-20 Walk In Freezer,Flat,20 ml plastic,14,,,G,4,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
1737,,CAGN,BJD0115,183149,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/07/1993,1993,9,7,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,41.466666,1,Minute,-125.516666,1,Minute,1,North Pacific,M,Field determination: external exam only; live animal or carcass was examined but not dissected.,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,1998,1737,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,1,-20 Walk In Freezer,Flat,20 ml plastic,14,,,J,3,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
1738,,CAGN,BJD0116,183150,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/07/1993,1993,9,7,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,41.466666,1,Minute,-125.516666,1,Minute,1,North Pacific,F,Molecular determination: SRY method,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,1999,1738,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,1,-20 Walk In Freezer,Flat,20 ml plastic,14,,,J,4,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
1739,,CAGN,BJD0117,183151,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/04/1993,1993,9,4,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,41.466666,1,Minute,-124.516666,1,Minute,1,North Pacific,M,Molecular determination: SRY method,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,2000,1739,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,1,-20 Walk In Freezer,Flat,20 ml plastic,14,,,J,5,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
1864,,CAGN,WRZ0002,183266,,,,,,,,BYCATCH,385,Kerri Danil,459,"NMFS, SWR, OBSERVER PROGRAM",,,"NMFS, SOUTHWEST REGION FISHERY OBSERVER PROGRAM and SOUTHWEST FISHERIES SCIENCE CENTER",,SJC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,10/26/1993,1993,10,26,OFFSHORE,,,,CALIFORNIA,UNITED STATES OF AMERICA,36.066666,1,Minute,-122.85,1,Minute,1,North Pacific,M,Field determination: gonads were examined; carcass was examined and dissected.,,,CONC READING TAKEN IN 2003,5/31/12,dan.prosperi,6/17/22,2114,1864,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,2,-20 Walk In Freezer,Flat,2 ml,15,,,F,5,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
2819,,,VGT0151,184211,,,,,,,,STRANDING,403,ALETA HOHN,457,"NMFS, SOUTHEAST FISHERIES SCIENCE CENTER, BEAUFORT LAB",,,"NMFS, Southeast Region Stranding Network",,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,05/31/1994,1994,5,31,HOLDEN BEACH,,,,NORTH CAROLINA,UNITED STATES OF AMERICA,33.916666,1,Minute,-75.216666,1,Minute,2,North Atlantic,M,Field determination: gonads were examined; carcass was examined and dissected.,,,COMPLETE DLOOP,5/31/12,dan.prosperi,6/8/22,2947,2819,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,2,-20 Walk In Freezer,Flat,20 ml plastic,21,,,C,2,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
3031,,,GA-0419,184420,,,,,,,,STRANDING,739,GRAHAM WORTHY,518,TEXAS A&M UNIVERSITY - GALVESTON,,,,,ARC,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,01/06/1992,1992,1,6,,,,Brazoria,TEXAS,UNITED STATES OF AMERICA,29.066666,1,Minute,-95.133333,1,Minute,2,North Atlantic,M,Field determination: gonads were examined; carcass was examined and dissected.,,,CON READING TAKEN IN 2003,5/31/12,dan.prosperi,6/7/22,3167,3031,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,2,-20 Walk In Freezer,Flat,20 ml plastic,23,,,B,1,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
4629,,,MAC950918.01,185996,,1995-CADDIS-MAC,,,,,,BIOPSY (PROJECTILE),534,JAY BARLOW,1,SWFSC,,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,JPB,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/18/1995,1995,9,18,GULF OF CALIFORNIA,,,,,MEXICO,26.5,1,Minute,-111,1,Minute,1,North Pacific,U,,,,"CONC READING 7/03.  Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/12,Alaina.Harmon,4/30/24,4730,4629,1,Blubber,"DMSO, saturated salt solution",0,No tissue,Y,2,-20 Walk In Freezer,Flat,2 ml,30,,,I,2,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
4629,,,MAC950918.01,185996,,1995-CADDIS-MAC,,,,,,BIOPSY (PROJECTILE),534,JAY BARLOW,1,SWFSC,,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,JPB,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/18/1995,1995,9,18,GULF OF CALIFORNIA,,,,,MEXICO,26.5,1,Minute,-111,1,Minute,1,North Pacific,U,,,,"CONC READING 7/03.  Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/12,Alaina.Harmon,4/30/24,4731,4629,2,Whole genome amplification,,0,No tissue,N,0,,,,,,,,,,N,,,,3/3/08,2/3/09,Gabriela Serra-Valente,3/3/08
4630,,,MAC950918.02,185997,,1995-CADDIS-MAC,,,,,,BIOPSY (PROJECTILE),534,JAY BARLOW,1,SWFSC,,,"Southwest Fisheries Science Center, National Marine Fisheries Service, La Jolla, CA",,JPB,36,036,C,CETACEA,G mac,Globicephala,macrorhynchus,Short-finned pilot whale,,,N,,09/18/1995,1995,9,18,GULF OF CALIFORNIA,,,,,MEXICO,26.5,1,Minute,-111,1,Minute,1,North Pacific,U,,,,"CONC READING 7/03.  Alaina Harmon, 30 April 2024: Samples reverted to no external permission required following Jay Barlow's retirement.",5/31/12,Alaina.Harmon,4/30/24,4732,4630,1,Skin & Blubber,"DMSO, saturated salt solution",3,Enough tissue for 3 or more extractions,Y,2,-20 Walk In Freezer,Flat,2 ml,30,,,I,2,1,N,,,,3/3/08,2/25/20,Dan Prosperi,3/3/08
