Pele_archive_dump_3June2024_LabID,Pele_DIDs_D_ID,dbo_vw_DNA_Storage_LabID,CellStatus,Freezer,Freezer_Description,Rack,Box,Row,Column,T_ID,DNAInStock,DNA_Type,DQuant,DQuant_Description,CheckedOut,Checked_Out_By,Checked_Out_For,Pele_DIDs_Comments,Batch_.,Extracted_By,Extraction_Date,Extraction_Comments,InventoryDate,Inventory_Tech,Accession_Date,Pele_DIDs_Edit_User,Pele_DIDs_Edit_Date,Pele_DIDs_Record_Creation_Date,Concentration_ID,dbo_vw_DNA_Concentration_D_ID,Quantification_Date,Done_by_Name,Equipment_Method,Concentration_ng_ul,Concentration_260_280,Concentration_260_230,Quantity_Copies,Assay,dbo_vw_DNA_Concentration_Comments,dbo_vw_DNA_Concentration_Edit_User,dbo_vw_DNA_Concentration_Edit_Date,dbo_vw_DNA_Concentration_Record_Creation_Date
33932,50438,33932,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,B,8,,Y,Genomic DNA,4,>50ul,N,,,,303,Louella Dolar,11/17/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
33932,65081,33932,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",15,758,B,9,35725,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,712,Louella Dolar,2/22/12,P ele for BLH,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
33933,26957,33933,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,B,1,35726,Y,Genomic DNA,1,<=10ul,N,,,,,,,,4/14/06,Lauren Hess,,Gabriela Serra-Valente,6/10/19,6/28/12,6639,26957,,,,19,,,,,,Dan Prosperi,5/19/14,5/19/14
33934,26958,33934,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,B,2,35727,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6640,26958,,,,15,,,,,,Dan Prosperi,5/19/14,5/19/14
34002,26959,34002,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,B,3,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,reconstituted per BLH 7/15/2013,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,,,,,,,,,,,,,,
34002,65082,34002,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",15,758,C,1,35795,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,712,Louella Dolar,2/22/12,P ele for BLH,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34002,71990,34002,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",18,810,D,7,35795,Y,Genomic DNA,2,>10ul and <=25ul,N,,,reconstituted per BLH 7/15/2013,,,,,,,1/22/13,Alaina Harmon,2/2/22,1/22/13,,,,,,,,,,,,,,
34003,26960,34003,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,B,4,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6641,26960,,,,35,,,,,,Dan Prosperi,5/19/14,5/19/14
34004,26961,34004,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,B,5,35797,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6642,26961,,,,23,,,,,,Dan Prosperi,5/19/14,5/19/14
34005,26962,34005,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,B,6,35798,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6643,26962,,,,23,,,,,,Dan Prosperi,5/19/14,5/19/14
34006,26963,34006,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,B,7,35799,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6644,26963,,,,18,,,,,,Dan Prosperi,5/19/14,5/19/14
34007,26964,34007,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,B,8,35800,Y,Genomic DNA,1,<=10ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6645,26964,,,,16,,,,,,Dan Prosperi,5/19/14,5/19/14
34008,26965,34008,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,B,9,35801,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6646,26965,,,,14,,,,,,Dan Prosperi,5/19/14,5/19/14
34013,26970,34013,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,C,5,35806,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6650,26970,,,,13,,,,,,Dan Prosperi,5/19/14,5/19/14
34013,65085,34013,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",15,758,C,4,35806,Y,Genomic DNA,2,>10ul and <=25ul,N,,,reconstituted per BLH 7/15/2013,712,Louella Dolar,2/22/12,P ele for BLH,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
34014,26971,34014,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,C,6,35807,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6651,26971,,,,8,,,,,,Dan Prosperi,5/19/14,5/19/14
34015,26972,34015,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,C,7,35808,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,4/14/06,Lauren Hess,,Gabriela Serra-Valente,6/10/19,6/28/12,6652,26972,,,,22,,,,,,Dan Prosperi,5/19/14,5/19/14
34015,26972,34015,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,C,7,35808,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,4/14/06,Lauren Hess,,Gabriela Serra-Valente,6/10/19,6/28/12,61928,26972,11/17/18,Kelly Robertson,Victor Fluorometry,0,,,,,,Gabriela Serra-Valente,6/10/19,5/29/19
34015,105425,34015,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1035,M,6,35808,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,2044,Kelly Robertson,11/26/18,,,,11/27/18,Alaina Harmon,2/9/22,11/27/18,58004,105425,11/27/18,Kelly Robertson,Victor Fluorometry,23.77,,,,,,Gabriela Serra-Valente,11/29/18,11/29/18
34016,26973,34016,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,C,8,35809,Y,Genomic DNA,1,<=10ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6653,26973,,,,11,,,,,,Dan Prosperi,5/19/14,5/19/14
34017,26974,34017,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,C,9,35810,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,,,,,4/14/06,Lauren Hess,,Nicky Beaulieu,7/16/13,6/28/12,6654,26974,,,,15,,,,,,Dan Prosperi,5/19/14,5/19/14
34018,26975,34018,1,F1,"-80C upright freezer, Marine Mammal and Turtle DNA",10,185,D,1,35811,Y,Genomic DNA,1,<=10ul,N,,,,,,,,4/14/06,Lauren Hess,,Gabriela Serra-Valente,6/10/19,6/28/12,6655,26975,,,,21,,,,,,Dan Prosperi,5/19/14,5/19/14
35859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35863,50439,35863,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,B,9,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,303,Louella Dolar,11/17/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
35864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35867,50440,35867,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,C,1,,Y,Genomic DNA,4,>50ul,N,,,,303,Louella Dolar,11/17/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
35868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35869,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35871,50441,35871,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,C,2,,Y,Genomic DNA,4,>50ul,N,,,,303,Louella Dolar,11/17/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
35872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35873,50442,35873,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,C,3,,Y,Genomic DNA,4,>50ul,N,,,,303,Louella Dolar,11/17/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
35874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41109,57792,41109,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",11,671,B,5,,Y,Genomic DNA,1,<=10ul,N,,,,497,Louella Dolar,11/16/10,,,,,Alaina Harmon,2/2/22,6/28/12,53620,57792,4/6/17,Kelly Robertson,Victor Fluorometry,252.53,,,,,,Gabriela Serra-Valente,6/6/18,6/6/18
41109,74026,41109,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",19,825,H,3,43769,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,905,Louella Dolar,4/16/13,"P ele for BLH, others for KMR",,,4/26/13,Alaina Harmon,2/2/22,4/26/13,54075,74026,4/6/17,Kelly Robertson,Victor Fluorometry,170.41,,,,,,Gabriela Serra-Valente,6/27/18,6/27/18
41110,50443,41110,-1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,C,4,,N,Genomic DNA,0,None left,N,,,"Used up, used for SR314 per KMR 2/19/2014",302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
41110,74027,41110,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",19,825,H,4,43770,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,905,Louella Dolar,4/16/13,"P ele for BLH, others for KMR",,,4/26/13,Alaina Harmon,2/2/22,4/26/13,,,,,,,,,,,,,,
41111,50444,41111,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,C,5,,Y,Genomic DNA,4,>50ul,N,,,,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
41111,74028,41111,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",19,825,H,5,43771,Y,Genomic DNA,4,>50ul,N,,,,905,Louella Dolar,4/16/13,"P ele for BLH, others for KMR",,,4/26/13,Alaina Harmon,2/2/22,4/26/13,,,,,,,,,,,,,,
41112,59862,41112,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",12,696,G,5,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,,,,,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
41189,57793,41189,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",11,671,B,6,,Y,Genomic DNA,4,>50ul,N,,,,497,Louella Dolar,11/16/10,,,,,Alaina Harmon,2/2/22,6/28/12,54126,57793,4/6/17,Kelly Robertson,Victor Fluorometry,263.59,,,,,,Gabriela Serra-Valente,6/27/18,6/27/18
41566,50445,41566,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,C,6,,Y,Genomic DNA,1,<=10ul,N,,,,303,Louella Dolar,11/17/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
45903,50446,45903,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,C,7,,Y,Genomic DNA,1,<=10ul,N,,,,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,6/10/19,6/28/12,,,,,,,,,,,,,,
45903,103629,45903,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1027,J,6,49345,Y,Genomic DNA,1,<=10ul,N,,,,2005,Kelly Robertson,9/4/18,,,,9/10/18,Alaina Harmon,2/9/22,9/10/18,,,,,,,,,,,,,,
45904,58056,45904,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",11,674,D,8,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,516,Louella Dolar,11/30/10,Contaminated: ?,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
45905,50447,45905,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,C,8,,Y,Genomic DNA,4,>50ul,N,,,,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
45906,58057,45906,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",11,674,D,9,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,516,Louella Dolar,11/30/10,Contaminated: ?,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
45911,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45912,50448,45912,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,C,9,,Y,Genomic DNA,4,>50ul,N,,,,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
45913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45914,50449,45914,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,D,1,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
45915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45916,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45917,50450,45917,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,D,2,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,6/10/19,6/28/12,61958,50450,11/17/18,Kelly Robertson,Victor Fluorometry,0,,,,,,Gabriela Serra-Valente,6/10/19,5/29/19
45917,105448,45917,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1036,B,3,49359,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,2044,Kelly Robertson,11/26/18,,,,11/27/18,Alaina Harmon,2/9/22,11/27/18,58012,105448,11/27/18,Kelly Robertson,Victor Fluorometry,59.23,,,,,,Gabriela Serra-Valente,11/29/18,11/29/18
45918,50451,45918,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,D,3,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,reconstituted per BLH 7/15/2013,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
45918,65086,45918,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",15,758,C,5,49360,Y,Genomic DNA,2,>10ul and <=25ul,N,,,reconstituted per BLH 7/15/2013,712,Louella Dolar,2/22/12,P ele for BLH,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
45919,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45937,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45939,50452,45939,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,D,4,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,6/10/19,6/28/12,61959,50452,11/17/18,Kelly Robertson,Victor Fluorometry,1.32,,,,,,Gabriela Serra-Valente,6/10/19,5/29/19
45939,105449,45939,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1036,B,4,49381,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,2044,Kelly Robertson,11/26/18,,,,11/27/18,Alaina Harmon,2/9/22,11/27/18,58002,105449,11/27/18,Kelly Robertson,Victor Fluorometry,89.45,,,,,,Gabriela Serra-Valente,11/29/18,11/29/18
45940,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45941,50453,45941,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,D,5,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,6/10/19,6/28/12,61960,50453,11/17/18,Kelly Robertson,Victor Fluorometry,0,,,,,,Gabriela Serra-Valente,6/10/19,5/29/19
45941,105450,45941,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1036,B,5,49383,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,2044,Kelly Robertson,11/26/18,,,,11/27/18,Alaina Harmon,2/9/22,11/27/18,58020,105450,11/27/18,Kelly Robertson,Victor Fluorometry,48.59,,,,,,Gabriela Serra-Valente,11/29/18,11/29/18
45942,50454,45942,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,D,6,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,6/10/19,6/28/12,61961,50454,11/17/18,Kelly Robertson,Victor Fluorometry,0.66,,,,,,Gabriela Serra-Valente,6/10/19,5/29/19
45942,65087,45942,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",15,758,C,6,49384,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,712,Louella Dolar,2/22/12,P ele for BLH,,,,Alaina Harmon,2/2/22,6/28/12,61982,65087,11/17/18,Kelly Robertson,Victor Fluorometry,0,,,,,,Gabriela Serra-Valente,6/10/19,5/29/19
45942,105451,45942,1,F6,"-80C upright freezer, Marine Mammal and Turtle DNA",5,1036,B,6,49384,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,2044,Kelly Robertson,11/26/18,,,,11/27/18,Alaina Harmon,2/9/22,11/27/18,58005,105451,11/27/18,Kelly Robertson,Victor Fluorometry,18,,,,,,Gabriela Serra-Valente,11/29/18,11/29/18
45943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45944,50455,45944,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,D,7,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
45945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45958,50456,45958,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,D,8,,Y,Genomic DNA,4,>50ul,N,,,,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
45959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45960,50457,45960,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",1,468,D,9,,Y,Genomic DNA,3,>25ul and <=50ul,N,,,,302,Louella Dolar,11/12/09,Entered by LLD,,,,Gabriela Serra-Valente,4/10/18,6/28/12,,,,,,,,,,,,,,
45962,58058,45962,1,F7,"-80C upright freezer, Marine Mammal and Turtle DNA",11,674,E,1,,Y,Genomic DNA,2,>10ul and <=25ul,N,,,reconstituted per BLH 7/15/2013,516,Louella Dolar,11/30/10,Contaminated: ?,,,,Alaina Harmon,2/2/22,6/28/12,,,,,,,,,,,,,,
